台湾smt,#genre#
Hollywood Movies,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/hollywoodmovies_twn/playlist.m3u8
三立台湾 Sanli Taiwan,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/sanlitaiwan/playlist.m3u8
三立戏剧台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8
三立综合 Sanli Metro,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/sanlizhonghe/playlist.m3u8
三立都会台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/sanlidouhui/playlist.m3u8
东森新闻 ETTV News,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvnews/playlist.m3u8
CINEMAX,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/cinemax_twn/playlist.m3u8
东森综合 ETTV Metro,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvzhonghe/playlist.m3u8
东森戏剧 ETTV Drama,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvdrama/playlist.m3u8
东森超视,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvsuper/playlist.m3u8
东森财经新闻 ETTV Business,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvcaijing_twn/playlist.m3u8
寰宇财经,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/huanyutaiwan_twn/playlist.m3u8
寰宇新闻台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/huanyuxinwen_twn/playlist.m3u8
大爱1台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/daai_twn/playlist.m3u8
非凡新闻台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/feifannews_twn/playlist.m3u8
龙华戏剧 Lunghua Drama,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuaxiju_twn/playlist.m3u8
龙华戏剧台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuaxiju_twn/playlist.m3u8
龙华经典台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuajingdian_twn/playlist.m3u8
龙华偶像,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuaidol_twn/playlist.m3u8
AXN Taiwan,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/axn_twn/playlist.m3u8
靖天国际台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/jingtianintl_twn/playlist.m3u8
年代新闻,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/niandainews_twn/playlist.m3u8
纬来日本台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandjapan/playlist.m3u8
纬来电影台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandmovie_twn/playlist.m3u8
纬来体育台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandsport/playlist.m3u8
纬来综合台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandzonghe/playlist.m3u8
纬来育乐,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandyule/playlist.m3u8
纬来精彩,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/videolandspecial_twn/playlist.m3u8
好消息 2,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/goods_twn/playlist.m3u8
大爱2台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/catchplay_twn/playlist.m3u8
亚洲美食,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/afc_twn/playlist.m3u8
美食星球,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/foodplanet_twn/playlist.m3u8
亚洲旅游 TLC Asia,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/tlc_twn/playlist.m3u8
东森电影 ETTV Movie,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvmovie/playlist.m3u8
阿里郎 Arirang,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/arirang_twn/playlist.m3u8
博斯运动 1,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bosisport1_twn/playlist.m3u8
博斯运动 2,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bosisport2_twn/playlist.m3u8
博斯高球2 HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bosigolf2_twn/playlist.m3u8
博斯网球 HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bositennis_twn/playlist.m3u8
东森洋片 ETTV Western,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ettvwestern/playlist.m3u8
龙华洋片 Lunghua Western,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lunghuawestern_twn/playlist.m3u8
博斯无限,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/bosiunlimited_twn/playlist.m3u8
MTV Live,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/mtvhd_twn/playlist.m3u8
龙详时代,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/lungxiangtime_twn/playlist.m3u8
EYETV 旅游,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/eyetvtravel_twn/playlist.m3u8
靖天卡通台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/jingtiancartoon_twn/playlist.m3u8
EYETV 戏剧,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/eyetvxiju_twn/playlist.m3u8
卫视中文台 Star Movies Chinese,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/weishichinese_twn/playlist.m3u8
东森幼幼 Yoyo TV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/yoyo_twn/playlist.m3u8
卫视电影台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/weishimovie_twn/playlist.m3u8
美亚电影,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8
